"material_id","material_name","material_type","item_description","class_name","vendor_name","vendor_item_number","url_link","notes"
24,"Short Liner, Short Handle, 18/0",Brushes,"Princeton Select Synthetic Brush - Short Liner, Short Handle, Size 18/0",Drawing,Blick Art Materials,"06391-7018",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06391-7018,""
25,"Spotter, Short Handle, 5/0",Brushes,"Princeton Select Synthetic Brush - Spotter, Short Handle, 5/0",Adv Art 2,Blick Art Materials,"06376-7050",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06376-7050,""
25,"Spotter, Short Handle, 5/0",Brushes,"Princeton Select Synthetic Brush - Spotter, Short Handle, 5/0",Drawing,Blick Art Materials,"06376-7050",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06376-7050,""
26,Glazing Fan Brush,Brushes,Soft Fan Brush - 6 | Royal Langnickel,Ceramics,Trinity Ceramics,SKU: 6527,https://trinityceramic.com/product/r835-6/,""
27,Glazing Brush Set 72,Brushes,Various Glaze brush sizes - blue handle,Ceramics,Blick Art Materials,"06424-1729",https://www.dickblick.com/items/royal-langnickel-ceramic-classroom-brush-assortment-set-of-72/,""
28,Glazing Brush Set 60,Brushes,Various Glaze brush sizes - clear handle,Ceramics,Blick Art Materials,"05891-1049",https://www.dickblick.com/items/royal-langnickel-clear-choice-brush-set-soft-natural-ceramic-brushes-set-of-60-short-handle/,""
29,"32oz Mixing Containers",Ceramics,"32oz. Mixing Containers 36 Pack",AP3D,Amazon,Various,https://www.amazon.com/Custom-Shop-Graduated-Calibrated-Multiple/dp/B07XQJ9TR7/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.3859b1f1-8b34-4d43-bd56-696bede8aa56%3Aamzn1.sym.3859b1f1-8b34-4d43-bd56-696bede8aa56&crid=1G2K1D5CII8ZW&cv_ct_cx=mixing%2Bcups%2B32%2Boz&keywords=mixing%2Bcups%2B32%2Boz&pd_rd_i=B07XQJ9TR7&pd_rd_r=2516e873-0fe1-4ced-8044-26008e5a28d0&pd_rd_w=6gnc9&pd_rd_wg=8RlTt&pf_rd_p=3859b1f1-8b34-4d43-bd56-696bede8aa56&pf_rd_r=4CYK0WV7BZYDD8PEPJQ1&qid=1775953584&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=mixing%2Bcups%2B32%2B%2Caps%2C144&sr=1-2-383bc08e-f3b5-4928-b079-a9607486ab19-spons&aref=hhnNcLezBr&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1,"for ceramics, mixing glazes etc."
29,"32oz Mixing Containers",Ceramics,"32oz. Mixing Containers 36 Pack",Ceramics,Amazon,Various,https://www.amazon.com/Custom-Shop-Graduated-Calibrated-Multiple/dp/B07XQJ9TR7/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.3859b1f1-8b34-4d43-bd56-696bede8aa56%3Aamzn1.sym.3859b1f1-8b34-4d43-bd56-696bede8aa56&crid=1G2K1D5CII8ZW&cv_ct_cx=mixing%2Bcups%2B32%2Boz&keywords=mixing%2Bcups%2B32%2Boz&pd_rd_i=B07XQJ9TR7&pd_rd_r=2516e873-0fe1-4ced-8044-26008e5a28d0&pd_rd_w=6gnc9&pd_rd_wg=8RlTt&pf_rd_p=3859b1f1-8b34-4d43-bd56-696bede8aa56&pf_rd_r=4CYK0WV7BZYDD8PEPJQ1&qid=1775953584&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=mixing%2Bcups%2B32%2B%2Caps%2C144&sr=1-2-383bc08e-f3b5-4928-b079-a9607486ab19-spons&aref=hhnNcLezBr&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1,"for ceramics, mixing glazes etc."
30,"64oz Mixing Containers",Ceramics,"64oz. Mixing Containers 12 Pack ",AP3D,Amazon,Various,https://www.amazon.com/dp/B00A6DGE9C/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B00A6DGE9C&pd_rd_w=HWlKf&content-id=amzn1.sym.613a5a0c-ad86-44dc-b9ed-5da62fb83b9e&pf_rd_p=613a5a0c-ad86-44dc-b9ed-5da62fb83b9e&pf_rd_r=ZTXHJ2G2VK9JCV6TV81B&pd_rd_wg=RckyE&pd_rd_r=17095dd1-4c9e-40c0-897e-ae9f5c2cfcab&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"for ceramics, mixing glazes etc."
30,"64oz Mixing Containers",Ceramics,"64oz. Mixing Containers 12 Pack ",Ceramics,Amazon,Various,https://www.amazon.com/dp/B00A6DGE9C/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B00A6DGE9C&pd_rd_w=HWlKf&content-id=amzn1.sym.613a5a0c-ad86-44dc-b9ed-5da62fb83b9e&pf_rd_p=613a5a0c-ad86-44dc-b9ed-5da62fb83b9e&pf_rd_r=ZTXHJ2G2VK9JCV6TV81B&pd_rd_wg=RckyE&pd_rd_r=17095dd1-4c9e-40c0-897e-ae9f5c2cfcab&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"for ceramics, mixing glazes etc."
31,"8oz. Spray Bottle 4 pack",Ceramics,"8oz Spray Bottle 4 pack",AP3D,Amazon,Various,https://www.amazon.com/Pack-Empty-Plastic-Spray-Bottles/dp/B07MT4XK7K/ref=sr_1_1?dib=eyJ2IjoiMSJ9.RiWF93slaqbghiY4ANhbB8oIqDB4KMCYK74Iw0VuivKyjMLLaKQva15_LGjjO5DwLu8AbZUUCemRDOMQmiJifmF-jHBpsn-VU_HDm2QsURz1WGO7TxX274MZ1VgqYpgDxtB3xByyHbEJ4D27-5YMsOUyFXDRncJghnAZ6f_fTWXOUogxHDvx2SgYoy9GJpqc-Hh9cWavSAcPwm73KjU5nG9gEVQkBcp9uatYubsUVGTFdsh2Si5JFcAXGpxLd-BmoFOW27lZ_2eVSFy2jwD3BaG4d9xl46tVq-BebxNBKuk.t-fh71kmzK4zkX7HAKGw7OUSkVtVnrMUgiilbCK7LDQ&dib_tag=se&keywords=dilabee%2B4%2Bpack%2B8oz%2Bplastic%2Bspray%2Bbottle&qid=1775954000&sr=8-1&th=1,""
31,"8oz. Spray Bottle 4 pack",Ceramics,"8oz Spray Bottle 4 pack",Ceramics,Amazon,Various,https://www.amazon.com/Pack-Empty-Plastic-Spray-Bottles/dp/B07MT4XK7K/ref=sr_1_1?dib=eyJ2IjoiMSJ9.RiWF93slaqbghiY4ANhbB8oIqDB4KMCYK74Iw0VuivKyjMLLaKQva15_LGjjO5DwLu8AbZUUCemRDOMQmiJifmF-jHBpsn-VU_HDm2QsURz1WGO7TxX274MZ1VgqYpgDxtB3xByyHbEJ4D27-5YMsOUyFXDRncJghnAZ6f_fTWXOUogxHDvx2SgYoy9GJpqc-Hh9cWavSAcPwm73KjU5nG9gEVQkBcp9uatYubsUVGTFdsh2Si5JFcAXGpxLd-BmoFOW27lZ_2eVSFy2jwD3BaG4d9xl46tVq-BebxNBKuk.t-fh71kmzK4zkX7HAKGw7OUSkVtVnrMUgiilbCK7LDQ&dib_tag=se&keywords=dilabee%2B4%2Bpack%2B8oz%2Bplastic%2Bspray%2Bbottle&qid=1775954000&sr=8-1&th=1,""
37,"14in Pottery Wheel Bat",Ceramics,large bat for pottery wheel,Ceramics,Blick Art Materials,"30019-9014",https://www.dickblick.com/items/amaco-plasti-bat-with-pin-holes-14-round/,""
43,"12"" Metal Ruler",Class Supplies,"12"" Metal Ruler with cork backed",Whole Department,Blick Art Materials,"56009-1012",https://www.dickblick.com/items/blick-stainless-steel-ruler-12-cork-backed/,""
44,FIFO 16 oz. Squeeze Bottles,Class Supplies,"6 Pack FIFO 16 oz. Squeeze Bottles",Whole Department,Amazon,various,https://www.amazon.com/dp/B072K1SWND/?coliid=I2HR46UM78UTDN&colid=3VSHZ90G91VUB&psc=1&ref_=lv_ov_lig_dp_it,""
45,Armada Spring Scissors,Class Supplies,Armada Easy Spring Scissors,Partners Art,Blick Art Materials,"57083-1001",https://www.dickblick.com/items/armada-easy-spring-scissors/,""
46,Blick  Scissors,Class Supplies,"Bent Handle Soft Grip Blick Studio Multi-Purpose Scissors - 8-1/4"" ",Whole Department,Blick Art Materials,"86021-2021",https://www.dickblick.com/products/blick-studio-soft-grip-bent-scissors/,""
47,Blick  Scissors,Class Supplies,Blick Studio Multi-Purpose Scissors - 8-1/4,Whole Department,Blick Art Materials,"86021-2021",https://www.dickblick.com/items/blick-studio-multi-purpose-scissors-8-14/,""
48,"12"" Flexible Clear Ruler",Class Supplies,Flexible Clear ruler,Whole Department,Blick Art Materials,"55693-1012",https://www.dickblick.com/items/westcott-flexible-ruler-12-inch-metric/,""
49,Hot Glue Sticks 5lb Box,Class Supplies,"Hot Glue Gun refills 7/16"" x 4""",Whole Department,Blick Art Materials,"23604-1104",https://www.dickblick.com/items/surebonder-clear-stik-hot-glue-sticks-5-lb-716-x-4/,"7/16"" - Larger refill sticks"
51,Nitrile Exam Gloves Medium,Class Supplies,Latex Free Exam Gloves Medium,Whole Department,Amazon,Various,https://www.amazon.com/TITANflex-Disposable-Nitrile-Cooking-Mechanic/dp/B0BR7RY18Y/ref=sr_1_1?crid=3SO32B0B47ZEI&dib=eyJ2IjoiMSJ9.YUYWh2aKHRh5DF3nmIuENM_hHQG-YTe22BkiifKqW9fDmCCeuvwtRDEn8MD5M4yAmP7uVOIDQawSKxOMCTaH39SwiTOUTMVTaIju_J-kqizvxPMBMbUMo1vZwtJSbBn_E90dut5P_xA985IHumYp_2sIke5rP0lDC607GqjhL7AQWyBR2HyF3M8xGHu28I-AzuXPCbjC9BCxIDYqftr6dfMG8GTMl3UsHf9-FUZrrZk.7MO9o0JQeXbZLNLzGiaGvPec4HlNugNrnrnJBksUsz0&dib_tag=se&keywords=TitanFlex%2BDisposable%2BNitrile%2BExam%2BGloves%2C%2B6-mil%2C%2BBlack%2C%2BHeavy%2BDuty%2C%2BLatex%2BFree%2C%2BFood%2BSafe%2Bfor%2BCooking%2B%26%2BFood%2BPrep&nsdOptOutParam=true&qid=1775952909&sprefix=titanflex%2Bdisposable%2Bnitrile%2Bexam%2Bgloves%2C%2B6-mil%2C%2Bblack%2C%2Bheavy%2Bduty%2C%2Blatex%2Bfree%2C%2Bfood%2Bsafe%2Bfor%2Bcooking%2B%26%2Bfood%2Bprep%2Caps%2C150&sr=8-1&th=1,"if discontinued, find another brand"
52,Compass,Class Supplies,Orange Compass,Whole Department,Blick Art Materials,"55437-0000",https://www.dickblick.com/items/safe-t-safe-t-compass/,""
53,Construction Paper black 9x12 50 pack,Class Supplies,tru-ray black construction paper,Whole Department,Amazon,Various,https://www.amazon.com/Tru-Ray-Construction-9-Inches-12-Inches-103029/dp/B00008XPBI?ref_=ast_sto_dp,recommended brand
54,Construction Paper White 9x12 50 pack,Class Supplies,tru-ray white contstuction paper,Whole Department,Amazon,Various,https://www.amazon.com/Tru-Ray-Sulphite-Construction-Inches-Sheets/dp/B00008XPFZ/ref=pd_sbs_d_sccl_1_1/131-8089362-2164439?pd_rd_w=qSrvL&content-id=amzn1.sym.aa738fbd-ad05-4d11-aae2-04b598db6305&pf_rd_p=aa738fbd-ad05-4d11-aae2-04b598db6305&pf_rd_r=PF9S1R32KEZFFC184HSM&pd_rd_wg=fVX8D&pd_rd_r=0f6a210a-b0ca-42a1-ae84-b5edb9691373&pd_rd_i=B00008XPFZ&th=1,recommened brand
55,X-Acto Knife,Class Supplies,X-Acto Knife with cap,Whole Department,Blick Art Materials,"57445-1101",https://www.dickblick.com/items/x-acto-knife-1-with-cap/,""
56,Underglaze Pencil - Black,Clay,Amaco Underglaze Decorating Pencil - Black,Ceramics,Blick Art Materials,"30438-2020",https://www.dickblick.com/items/amaco-underglaze-decorating-pencil-black/,""
57,Pottery Wheel Bat Pins 1-1/4 inch,Clay,Bat Pins - 1-1/4 inch.,Ceramics,Amazon,various,https://www.amazon.com/LEOLIO-Stainless-Steel-Bat-Pins/dp/B0CQC96H2F/ref=pd_sbs_d_sccl_2_2/132-5454899-0031517?pd_rd_w=qm2Aw&content-id=amzn1.sym.aa738fbd-ad05-4d11-aae2-04b598db6305&pf_rd_p=aa738fbd-ad05-4d11-aae2-04b598db6305&pf_rd_r=TSQXDQZPQX5P7860NWKC&pd_rd_wg=ga6j0&pd_rd_r=9aa27e56-9751-4f89-aa46-3b446b980153&pd_rd_i=B0CQC96H2F&th=1,for the pottery wheels (Check size. Correct size is 1.25 inches in length)
58,Amaco Kiln Gloves,Clay,Kiln Gloves,Ceramics,Blick Art Materials,"01111-2254",https://www.dickblick.com/items/amaco-kiln-gloves-large-1-pair/,""
59,Underglaze - Spectrum Brand,Clay,Spectrum Underglazes,Ceramics,Blick Art Materials,various,https://www.dickblick.com/products/spectrum-underglazes/,""
61,White Stoneware No Grog,Clay,White Stoneware No Grog,Ceramics,Trinity Ceramics,SKU: 7116,https://trinityceramic.com/product/white-stoneware-no-grog-25-lb-bag-trinity-ceramic/,""
62,Scoring Tool,Clay Tools,Blick Scoring Tool,Ceramics,Blick Art Materials,"31163-1055",https://www.dickblick.com/items/art-alternatives-scratch-wire-brush-5-5-in-l/,""
63,BLUE 1 FIRM RIB,Clay Tools,Blue Plastic Kidney Rib,Ceramics,Trinity Ceramics,SKU: 5537,https://trinityceramic.com/product/blue-rib-1/,""
64,Metal Rib - Pointed Half Moon,Clay Tools,Half Moon shaped rib with pointed tip,Ceramics,Blick Art Materials,"31161-4001",https://www.dickblick.com/items/richeson-stainless-steel-scrapers-pointed-half-moon-2-x-4-58/,""
65,Metal Rib,Clay Tools,Metal Rib - also called flexible steel scraper,Ceramics,Trinity Ceramics,SKU: 971,https://trinityceramic.com/product/s3-x/,""
66,Pro Needle Tool,Clay Tools,Pro Needle Tool – PRO | Kemper (Blister Pack),Ceramics,Trinity Ceramics,SKU: 940,https://trinityceramic.com/product/pro/,""
67,FTB-X SCORING TOOL,Clay Tools,Scoring Tool,Ceramics,Trinity Ceramics,SKU: 770,https://trinityceramic.com/product/ftb-x-scoring/,""
68,R2-X 6″ RIBBON TOOL,Clay Tools,Trimming Tool,Ceramics,Trinity Ceramics,SKU: 948,https://trinityceramic.com/product/r2-x/,""
69,Foam Shapes - Assorted,Crafting,"Creativity Street WonderFoam Pieces - Assorted Colors and Shapes, 1/2 lb, Approx 3000 Pieces",Partners Art,Blick Art Materials,"60947-1005",https://www.dickblick.com/items/creativity-street-wonderfoam-pieces-assorted-colors-and-shapes-12-lb-approx-3000-pieces/,""
70,Foam Sheets - Assorted,Crafting,"Creativity Street WonderFoam Sheets - Assorted Colors, 9"" x 12"" Sheets, Pkg of 10",Partners Art,Blick Art Materials,"60947-1023",https://www.dickblick.com/items/creativity-street-wonderfoam-sheets-assorted-colors-9-x-12-sheets-pkg-of-10/,""
71,Crayola Broad Line Markers and Sets,Drawing,Crayola Broad Line Markers - Assorted Sets,Partners Art,Blick Art Materials,Various,https://www.dickblick.com/products/crayola-broad-line-markers/?Item=21218-1109,""
72,Posca Paint Markers Set,Drawing,Paint Markers Set,Partners Art,Blick Art Materials,"19994-1159",https://www.dickblick.com/items/uni-posca-paint-markers-basic-colors-set-of-15-bullet-tip-7-mm/,""
73,Prismacolor Pencils - Set of 24,Drawing,"Prismacolor Premier Colored Pencils - Set of 24, Assorted Colors",Whole Department,Blick Art Materials,"20508-0036",https://www.dickblick.com/products/prismacolor-premier-colored-pencils/?Item=20508-2409,""
74,Prismacolor Pencils - Portrait Set,Drawing,"Prismacolor Premier Colored Pencils - Set of 24, Portrait Colors",Adv Art 2,Blick Art Materials,"20586-0429",https://www.dickblick.com/products/prismacolor-premier-colored-pencils/?Item=20586-0249,""
74,Prismacolor Pencils - Portrait Set,Drawing,"Prismacolor Premier Colored Pencils - Set of 24, Portrait Colors",Drawing,Blick Art Materials,"20586-0429",https://www.dickblick.com/products/prismacolor-premier-colored-pencils/?Item=20586-0249,""
75,Brush Pens - Bright Colors,Drawing,"Tombow Dual Brush Pens - Set of 10, Bright Colors",Adv Art 2,Blick Art Materials,"21334-1179",https://www.dickblick.com/items/tombow-dual-brush-pens-bright-colors-set-of-10/,""
75,Brush Pens - Bright Colors,Drawing,"Tombow Dual Brush Pens - Set of 10, Bright Colors",Drawing,Blick Art Materials,"21334-1179",https://www.dickblick.com/items/tombow-dual-brush-pens-bright-colors-set-of-10/,""
76,Brush Pens - Grey Scale,Drawing,"Tombow Dual Brush Pens - Set of 10, Gray Scale Colors",Adv Art 2,Blick Art Materials,"21334-1159",https://www.dickblick.com/items/tombow-dual-brush-pens-grary-scale-colors-set-of-10/,""
76,Brush Pens - Grey Scale,Drawing,"Tombow Dual Brush Pens - Set of 10, Gray Scale Colors",Drawing,Blick Art Materials,"21334-1159",https://www.dickblick.com/items/tombow-dual-brush-pens-grary-scale-colors-set-of-10/,""
77,Brush Pens - Landscape Colors,Drawing,"Tombow Dual Brush Pens - Set of 10, Landscape Colors",Adv Art 2,Blick Art Materials,"21334-1139",https://www.dickblick.com/items/tombow-dual-brush-pens-landscape-colors-set-of-10/,""
77,Brush Pens - Landscape Colors,Drawing,"Tombow Dual Brush Pens - Set of 10, Landscape Colors",Drawing,Blick Art Materials,"21334-1139",https://www.dickblick.com/items/tombow-dual-brush-pens-landscape-colors-set-of-10/,""
78,Brush Pens - Potrait Colors,Drawing,"Tombow Dual Brush Pens - Set of 10, Portrait Colors",Adv Art 2,Blick Art Materials,"21334-1149",https://www.dickblick.com/items/tombow-dual-brush-pens-portrait-colors-set-of-10/,""
78,Brush Pens - Potrait Colors,Drawing,"Tombow Dual Brush Pens - Set of 10, Portrait Colors",Drawing,Blick Art Materials,"21334-1149",https://www.dickblick.com/items/tombow-dual-brush-pens-portrait-colors-set-of-10/,""
79,Brush Pens - Primary Colors,Drawing,"Tombow Dual Brush Pens - Set of 10, Primary Colors",Adv Art 2,Blick Art Materials,"21334-1119",https://www.dickblick.com/items/tombow-dual-brush-pens-primary-colors-set-of-10/,""
79,Brush Pens - Primary Colors,Drawing,"Tombow Dual Brush Pens - Set of 10, Primary Colors",Drawing,Blick Art Materials,"21334-1119",https://www.dickblick.com/items/tombow-dual-brush-pens-primary-colors-set-of-10/,""
80,Enkaustikos Cakes,Encaustics,Enkaustikos Hot Cakes Encaustic Paints and Sets,Drawing,Blick Art Materials,Various,https://www.dickblick.com/products/enkaustikos-hot-cakes-encaustic-wax-paints/?fromSearch=%2Fsearch%2F%3Fsearchword%3D01111-0029,""
81,Classroom Yarn Assortment,Fibers,Assorted Yarn - 5lb assorted colors,Art 2,Blick Art Materials,"65208-1005",https://www.dickblick.com/items/classroom-yarn-assortment-5-lb-assorted-colors/,""
81,Classroom Yarn Assortment,Fibers,Assorted Yarn - 5lb assorted colors,Art 4,Blick Art Materials,"65208-1005",https://www.dickblick.com/items/classroom-yarn-assortment-5-lb-assorted-colors/,""
81,Classroom Yarn Assortment,Fibers,Assorted Yarn - 5lb assorted colors,Adv Art 1,Blick Art Materials,"65208-1005",https://www.dickblick.com/items/classroom-yarn-assortment-5-lb-assorted-colors/,""
81,Classroom Yarn Assortment,Fibers,Assorted Yarn - 5lb assorted colors,Art 3,Blick Art Materials,"65208-1005",https://www.dickblick.com/items/classroom-yarn-assortment-5-lb-assorted-colors/,""
82,Tapestry Needles,Fibers,"Blunt Tapestry Needles, 12",Art 2,Blick Art Materials,"65104-1009",https://www.dickblick.com/products/needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D65104-1009,""
82,Tapestry Needles,Fibers,"Blunt Tapestry Needles, 12",Art 4,Blick Art Materials,"65104-1009",https://www.dickblick.com/products/needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D65104-1009,""
82,Tapestry Needles,Fibers,"Blunt Tapestry Needles, 12",Adv Art 1,Blick Art Materials,"65104-1009",https://www.dickblick.com/products/needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D65104-1009,""
82,Tapestry Needles,Fibers,"Blunt Tapestry Needles, 12",Art 3,Blick Art Materials,"65104-1009",https://www.dickblick.com/products/needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D65104-1009,""
83,Dritz Embroidery Needles - Size 3,Fibers,Embroidery Needles package of 3,Art 2,Blick Art Materials,"62430-1001",https://www.dickblick.com/products/dritz-embroidery-needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D62430-1001,""
83,Dritz Embroidery Needles - Size 3,Fibers,Embroidery Needles package of 3,Art 4,Blick Art Materials,"62430-1001",https://www.dickblick.com/products/dritz-embroidery-needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D62430-1001,""
83,Dritz Embroidery Needles - Size 3,Fibers,Embroidery Needles package of 3,Adv Art 1,Blick Art Materials,"62430-1001",https://www.dickblick.com/products/dritz-embroidery-needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D62430-1001,""
83,Dritz Embroidery Needles - Size 3,Fibers,Embroidery Needles package of 3,Art 3,Blick Art Materials,"62430-1001",https://www.dickblick.com/products/dritz-embroidery-needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D62430-1001,""
84,DMC Cotton Embroidery Floss,Fibers,embroidery thread,Whole Department,Blick Art Materials,various,https://www.dickblick.com/products/dmc-cotton-embroidery-floss/,""
85,Janlynn Embroidery Floss,Fibers,"Janlynn Embroidery Floss Pack, Primary, Pkg of 36",Art 2,Blick Art Materials,"73502-1036",https://www.dickblick.com/items/janlynn-embroidery-floss-pack-primary-pkg-of-36/,""
85,Janlynn Embroidery Floss,Fibers,"Janlynn Embroidery Floss Pack, Primary, Pkg of 36",Art 4,Blick Art Materials,"73502-1036",https://www.dickblick.com/items/janlynn-embroidery-floss-pack-primary-pkg-of-36/,""
85,Janlynn Embroidery Floss,Fibers,"Janlynn Embroidery Floss Pack, Primary, Pkg of 36",Adv Art 1,Blick Art Materials,"73502-1036",https://www.dickblick.com/items/janlynn-embroidery-floss-pack-primary-pkg-of-36/,""
85,Janlynn Embroidery Floss,Fibers,"Janlynn Embroidery Floss Pack, Primary, Pkg of 36",Art 3,Blick Art Materials,"73502-1036",https://www.dickblick.com/items/janlynn-embroidery-floss-pack-primary-pkg-of-36/,""
86,Weaving Needles Plastic,Fibers,"Plastic Weaving Needles, 12",Whole Department,Blick Art Materials,"65109-1009",https://www.dickblick.com/products/plastic-weaving-needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D65109-1009,""
87,Lacing Needles Plastic,Fibers,"Roylco Plastic Lacing Needles, 32",Whole Department,Blick Art Materials,"81339-1001",https://www.dickblick.com/products/roylco-plastic-lacing-needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D81339-1001,""
88,Leisure Arts Fiber-fil Poly Stuffing,Fibers,Stuffing,Whole Department,Blick Art Materials,various,https://www.dickblick.com/products/essentials-by-leisure-arts-fiber-fil/,""
89,Yautomo Nori Paste,Fixative,collage paste,AP2D,Blick Art Materials,"24000-1002",https://www.dickblick.com/items/yasutomo-nori-paste-10-oz-jar/,""
89,Yautomo Nori Paste,Fixative,collage paste,Drawing,Blick Art Materials,"24000-1002",https://www.dickblick.com/items/yasutomo-nori-paste-10-oz-jar/,""
90,Artist's Spray Adhesive,Fixative,Scotch Spray Mount Artist's Adhesive - 10.25 oz,AP2D,Blick Art Materials,"23706-1105",https://www.dickblick.com/items/3m-spray-mount-artists-adhesive-1025-oz/,""
90,Artist's Spray Adhesive,Fixative,Scotch Spray Mount Artist's Adhesive - 10.25 oz,Drawing,Blick Art Materials,"23706-1105",https://www.dickblick.com/items/3m-spray-mount-artists-adhesive-1025-oz/,""
91,Blick Matte Fixative - 12 oz,Fixative,Spray Fixative,AP2D,Blick Art Materials,"21707-1105",https://www.dickblick.com/items/blick-matte-fixative-12-oz/,""
91,Blick Matte Fixative - 12 oz,Fixative,Spray Fixative,Drawing,Blick Art Materials,"21707-1105",https://www.dickblick.com/items/blick-matte-fixative-12-oz/,""
92,Studio  Markers - Set Assorted Colors,Markers,"Blick Studio Brush Markers - Set of 24, Assorted Colors",AP2D,Blick Art Materials,"24532-1249",https://www.dickblick.com/items/blick-studio-brush-markers-assorted-colors-set-of-24/,""
92,Studio  Markers - Set Assorted Colors,Markers,"Blick Studio Brush Markers - Set of 24, Assorted Colors",Drawing,Blick Art Materials,"24532-1249",https://www.dickblick.com/items/blick-studio-brush-markers-assorted-colors-set-of-24/,""
93,Dual Brush Pens - Set,Markers,"Tombow Dual Brush Pens - Set of 54 with Case, Assorted Colors",AP2D,Blick Art Materials,"21334-1549",https://www.dickblick.com/items/tombow-dual-brush-pens-set-of-54-with-case/,""
93,Dual Brush Pens - Set,Markers,"Tombow Dual Brush Pens - Set of 54 with Case, Assorted Colors",Drawing,Blick Art Materials,"21334-1549",https://www.dickblick.com/items/tombow-dual-brush-pens-set-of-54-with-case/,""
94,Studio Acrylic - Titan White,Paint,"Blick Studio Acrylics - Pkg of 2, Titanium White, 4 oz tubes",AP2D,Blick Art Materials,"01637-1010",https://www.dickblick.com/items/blick-studio-acrylics-pkg-of-2-titanium-white-4-oz-tubes/,""
94,Studio Acrylic - Titan White,Paint,"Blick Studio Acrylics - Pkg of 2, Titanium White, 4 oz tubes",Drawing,Blick Art Materials,"01637-1010",https://www.dickblick.com/items/blick-studio-acrylics-pkg-of-2-titanium-white-4-oz-tubes/,""
95,Studio Acrylic - Set 12,Paint,"Blick Studio Acrylics - Set of 12 colors, 21 ml tubes",AP2D,Blick Art Materials,"01637-0129",https://www.dickblick.com/items/blick-studio-acrylics-set-of-12-colors-21-ml-tubes/,""
95,Studio Acrylic - Set 12,Paint,"Blick Studio Acrylics - Set of 12 colors, 21 ml tubes",Drawing,Blick Art Materials,"01637-0129",https://www.dickblick.com/items/blick-studio-acrylics-set-of-12-colors-21-ml-tubes/,""
96,Blickcrylic - Bright Red,Paint,"Blickrylic Student Acrylics - Bright Red, Half Gallon",Art 2,Blick Art Materials,"00711-3078",https://www.dickblick.com/items/blickrylic-student-acrylics-bright-red-half-gallon/,""
96,Blickcrylic - Bright Red,Paint,"Blickrylic Student Acrylics - Bright Red, Half Gallon",Art 4,Blick Art Materials,"00711-3078",https://www.dickblick.com/items/blickrylic-student-acrylics-bright-red-half-gallon/,""
96,Blickcrylic - Bright Red,Paint,"Blickrylic Student Acrylics - Bright Red, Half Gallon",Art 1,Blick Art Materials,"00711-3078",https://www.dickblick.com/items/blickrylic-student-acrylics-bright-red-half-gallon/,""
96,Blickcrylic - Bright Red,Paint,"Blickrylic Student Acrylics - Bright Red, Half Gallon",Art 3,Blick Art Materials,"00711-3078",https://www.dickblick.com/items/blickrylic-student-acrylics-bright-red-half-gallon/,""
97,Blickcrylic - Burnt Sienna,Paint,"Blickrylic Student Acrylics - Burnt Sienna, Half Gallon",Art 2,Blick Art Materials,"00711-8048",https://www.dickblick.com/items/blickrylic-student-acrylics-burnt-sienna-half-gallon/,""
97,Blickcrylic - Burnt Sienna,Paint,"Blickrylic Student Acrylics - Burnt Sienna, Half Gallon",Art 4,Blick Art Materials,"00711-8048",https://www.dickblick.com/items/blickrylic-student-acrylics-burnt-sienna-half-gallon/,""
97,Blickcrylic - Burnt Sienna,Paint,"Blickrylic Student Acrylics - Burnt Sienna, Half Gallon",Art 1,Blick Art Materials,"00711-8048",https://www.dickblick.com/items/blickrylic-student-acrylics-burnt-sienna-half-gallon/,""
