"decade","genre","platform","num_games","total_na_sales","total_eu_sales","total_jp_sales","total_other_sales","total_global_sales"
1990,"Role-Playing","GEN","3","0","0","0.27","0","0.27"
1990,"Compilation","SAT","3","0","0","0.27","0","0.27"
1990,"Shooter","DC","1","0","0","0.26","0","0.26"
1990,"Racing","GEN","1","0","0","0.26","0","0.26"
1990,"Trivia/Board Game","SAT","3","0","0","0.26","0","0.26"
1990,"Strategy","GEN","1","0","0","0.19","0","0.19"
1990,"Adventure","GEN","2","0","0","0.19","0","0.19"
1990,"Card Game/Casino","N64","2","0.07","0.02","0.09","0","0.18"
1990,"Adventure","TG16","1","0","0","0.14","0","0.14"
1990,"Shooter","GEN","1","0","0","0.13","0","0.13"
1990,"Puzzle","GBA","1","0.06","0.02","0","0","0.09"
1990,"Visual Novel","SNES","1","0","0","0.08","0","0.08"
1990,"Action","DC","1","0","0","0.08","0","0.08"
1990,"Fighting","NES","1","0.04","0.01","0.02","0","0.07"
1990,"Party/Minigames","SNES","1","0","0","0.03","0","0.03"
1990,"Party/Minigames","GEN","1","0","0","0.03","0","0.03"
1990,"Shooter","TG16","1","0","0","0.02","0","0.02"
1990,"Educational","SAT","1","0","0","0.02","0","0.02"
1990,"Racing","PC","1","0","0.01","0","0","0.01"
1990,"Fighting","PC","1","0.01","0","0","0","0.01"
2000,"Action","PS2","350","138.53","77.62","26.68","52.15","295.05"
2000,"Sports","PS2","384","132.09","68.52","24.38","43.69","268.64"
2000,"Sports","Wii","161","108.12","66.15","10.72","19.48","204.39"
2000,"Racing","PS2","215","75.72","47.38","5.88","27.37","156.24"
2000,"Simulation","DS","255","64.79","35.54","19.15","10.98","130.53"
2000,"Shooter","X360","92","75.98","29.92","1.44","11.23","118.53"
2000,"Shooter","PS2","157","57.65","33.79","3.79","13.45","108.75"
2000,"Action","PS3","100","47.10","33.71","7.32","15.04","103.07"
2000,"Puzzle","DS","185","35.94","33.37","21.30","8.17","99.04"
2000,"Action","X360","131","59.96","26.57","1.32","8.89","96.78"
2000,"Action","DS","244","55.65","20.49","10.52","7.50","94.33"
2000,"Role-Playing","PS2","183","32.84","18.41","33.95","8.27","93.42"
2000,"Role-Playing","DS","161","35.06","12.37","37.65","4.86","90.01"
2000,"Platform","GBA","138","45.17","18.62","11.28","2.25","77.41"
2000,"Action","Wii","148","45.48","18.95","2.84","6.55","73.87"
2000,"Platform","PS2","100","36.61","23.14","2.60","8.96","71.28"
2000,"Platform","DS","68","33.43","16.71","13.62","5.92","69.78"
2000,"Fighting","PS2","130","33.13","16.18","11.38","7.41","68.07"
2000,"Shooter","PS3","59","30.33","23.61","1.55","10.37","65.83"
2000,"Role-Playing","GBA","72","28.29","12.87","20.76","1.82","63.75"
2000,"Shooter","XB","131","46.19","15.26","0.24","1.89","63.58"
2000,"Party/Minigames","Wii","42","31.78","18.05","4.78","5.64","60.29"
2000,"Platform","Wii","36","32.15","16.10","6.93","4.86","60.07"
2000,"Rhythm/Music","PS2","114","24.83","15.44","3.03","16.28","59.56"
2000,"Action","GBA","173","37.63","15.00","2.72","1.38","56.87"
