"decade","genre","platform","genre_na_sales","genre_eu_sales","genre_jp_sales","genre_other_sales","genre_global_sales","pct_na_sales","pct_eu_sales","pct_jp_sales","pct_other_sales","pct_global_sales"
2010,"Rhythm/Music","XOne","2.13","0.64","0","0.27","3.05","2.56","1.40","0.00","2.27","2.16"
2010,"Fighting","XOne","1.58","0.52","0.01","0.23","2.31","1.90","1.14","2.94","1.93","1.64"
2010,"Platform","XOne","0.44","0.29","0","0.07","0.81","0.53","0.64","0.00","0.59","0.57"
2010,"Compilation","XOne","0.47","0.21","0.01","0.07","0.75","0.56","0.46","2.94","0.59","0.53"
2010,"Misc","XOne","0.3","0.23","0.02","0.04","0.59","0.36","0.50","5.88","0.34","0.42"
2010,"Simulation","XOne","0.28","0.21","0","0.05","0.54","0.34","0.46","0.00","0.42","0.38"
2010,"Fitness","XOne","0.25","0.14","0","0.03","0.41","0.30","0.31","0.00","0.25","0.29"
2010,"Strategy","XOne","0.26","0.10","0","0.03","0.38","0.31","0.22","0.00","0.25","0.27"
2010,"Trivia/Board Game","XOne","0.1","0.02","0","0.01","0.13","0.12","0.04","0.00","0.08","0.09"
2020,"Simulation","DS","0.27","0","0","0.02","0.29","100.00",NULL,NULL,"100.00","100.00"
